Number,Plot_no2,Country,Landuse,Age of land use,Time since Deforestation,SOC2_conv_0-10_C,SOC2_ref_0-10_C,SOC_prop_top10_C,SOC_prop_top10_C2,d_Clay_50to100
1,,,Primary forest,,0,0,,1,100,0
718,P_23,Peru,Oil palm,11,41,1.353053,1.588145,0.851970695,85.19706954,2.127701
691,P_20,Peru,Oil palm,14,17,1.484455,1.929996,0.769149262,76.91492625,-17.66014
664,P_17,Peru,Oil palm,20,23,1.672009,2.319371,0.720888982,72.08889824,8.727379
637,P_14,Peru,Oil palm,15,,1.530372,2.611391,0.586037097,58.60370967,0.9691906
583,P_8,Peru,Oil palm,17,,0.9395181,1.723913,0.544991598,54.49915976,2.109039
772,P_29,Peru,Oil palm,10,36,1.285404,2.593373,0.495649488,49.56494881,-23.65803
43,I_5,Indonesia,Oil palm,9,9,2.843561,2.582403,1.101129839,110.1129839,11.42421
349,I_39,Indonesia,Oil palm,12,12,1.84353,5.290666,0.348449515,34.84495147,-14.5216
484,I_54,Indonesia,Oil palm,16,16,2.059276,3.498967,0.588538274,58.85382743,-6.757349
475,I_53,Indonesia,Oil palm,14,14,2.191904,3.498967,0.626443176,62.64431759,0.4494419
439,I_49,Indonesia,Oil palm,11.5,11.5,1.990315,3.498967,0.568829314,56.88293145,-19.04967
412,I_46,Indonesia,Oil palm,10,10,2.693631,3.662701,0.735422029,73.54220287,-3.365219
79,I_9,Indonesia,Oil palm,10,10,3.116234,3.547855,0.878343112,87.83431115,27.70705
88,I_10,Indonesia,Oil palm,19,19,1.910404,3.547855,0.538467327,53.84673274,-21.51513
106,I_12,Indonesia,Oil palm,10,10,1.425097,2.149047,0.66312975,66.31297501,-23.37204
178,I_20,Indonesia,Oil palm,15,15,3.159197,2.898866,1.089804427,108.9804427,36.89889
295,I_33,Indonesia,Oil palm,22,22,2.566569,4.788311,0.536007164,53.60071641,-1.617821
142,I_16,Indonesia,Oil palm,10,10,2.910189,4.759387,0.611462989,61.14629888,-15.0595
151,I_17,Indonesia,Oil palm,25,25,2.233922,4.759387,0.469371791,46.93717909,11.49968
286,I_32,Indonesia,Oil palm,10,10,1.877874,4.788311,0.392178787,39.21787871,-28.08584
115,I_13,Indonesia,Oil palm,15,15,1.323004,2.149047,0.615623576,61.56235764,-10.13375
223,I_25,Indonesia,Oil palm,10,10,2.107125,2.149047,0.980492749,98.04927486,-5.843306
1411,C_55,Cameroon,Oil palm,15,17,2.054481,3.309266,0.620826794,62.08267936,3.496252
1402,C_54,Cameroon,Oil palm,13,45,1.984379,3.309266,0.599643244,59.96432442,1.02553
1321,C_45,Cameroon,Oil palm,13,,1.525028,3.447609,0.442343665,44.23436648,0.2274094
1303,C_43,Cameroon,Oil palm,10,20,1.868375,3.447609,0.541933555,54.19335545,3.865047
1312,C_44,Cameroon,Oil palm,11,,1.618148,3.447609,0.469353688,46.93536883,4.337635
331,I_37,Indonesia,Rubber,27.5,27.5,2.420832,2.618403,0.924545229,92.45452285,-1.21673
322,I_36,Indonesia,Rubber,15,15,2.800536,2.618403,1.069558811,106.9558811,9.909451
232,I_26,Indonesia,Rubber,10,10,2.477999,2.149047,1.153068779,115.3068779,0.6859951
241,I_27,Indonesia,Rubber,20,20,2.12158,2.149047,0.987218986,98.72189859,-16.90289
304,I_34,Indonesia,Rubber,10,10,2.172173,4.788311,0.453640751,45.36407514,-19.84583
358,I_40,Indonesia,Rubber,13.5,13.5,2.130514,5.290666,0.402692969,40.26929691,-6.472511
376,I_42,Indonesia,Rubber,25,25,6.230091,2.480654,2.511471168,251.1471168,44.27558
268,I_30,Indonesia,Rubber,12,12,2.945157,3.908593,0.753508232,75.35082317,9.61607
250,I_28,Indonesia,Rubber,30,30,2.481853,2.149047,1.154862132,115.4862132,-19.24826
52,I_6,Indonesia,Rubber,10,10,2.278179,2.582403,0.882193445,88.21934454,11.6038
493,I_55,Indonesia,Rubber,10,10,2.766877,3.498967,0.790769676,79.07696757,10.65302
196,I_22,Indonesia,Rubber,17,17,3.82914,2.898866,1.320909625,132.0909625,33.10718
457,I_51,Indonesia,Rubber,28,28,2.160959,3.498967,0.617599137,61.75991371,2.601892
448,I_50,Indonesia,Rubber,11.5,11.5,1.857565,3.498967,0.530889545,53.08895454,-22.63277
187,I_21,Indonesia,Rubber,11,11,1.698358,2.898866,0.585869785,58.58697849,34.92796
421,I_47,Indonesia,Rubber,13,13,1.889599,3.662701,0.515903155,51.59031545,-18.43365
160,I_18,Indonesia,Rubber,25,25,3.370173,4.759387,0.708110729,70.81107294,18.04827
61,I_7,Indonesia,Rubber,27.5,27.5,2.521183,2.582403,0.976293398,97.6293398,4.291031
124,I_14,Indonesia,Rubber,30,30,2.673718,2.149047,1.24414124,124.414124,13.89062
394,I_44,Indonesia,Rubber,10,10,2.960191,3.213679,0.921122178,92.1122178,-16.23607
1222,C_34,Cameroon,Rubber,40,40,3.107045,5.241062,0.59282737,59.28273697,-3.298545
1105,C_21,Cameroon,Rubber,20,25,1.293117,1.719765,0.751914942,75.19149419,4.414543
1114,C_22,Cameroon,Rubber,55,55,1.162828,1.719765,0.676155172,67.61551724,17.29872
1123,C_23,Cameroon,Rubber,45,45,1.414075,1.719765,0.82224897,82.22489701,19.16836
1213,C_33,Cameroon,Rubber,50,50,1.324606,5.241062,0.252736182,25.27361821,0.7957315
1204,C_32,Cameroon,Rubber,50,50,3.274712,5.241062,0.624818405,62.48184051,8.828794
1258,C_38,Cameroon,Cacao,80,80,1.500851,3.447609,0.435330979,43.53309787,3.325695
1249,C_37,Cameroon,Cacao,100,100,2.077083,3.447609,0.602470582,60.24705818,7.413174
970,C_6,Cameroon,Cacao,65,65,2.381748,2.593844,0.918231012,91.82310116,13.42508
979,C_7,Cameroon,Cacao,40,41,2.105035,2.593844,0.811550348,81.15503477,14.73332
1042,C_14,Cameroon,Cacao,20,,1.346901,1.719765,0.783188982,78.31889822,-17.84627
1051,C_15,Cameroon,Cacao,30,,1.85192,1.719765,1.076844801,107.6844801,17.06803
1150,C_26,Cameroon,Cacao,27.5,30,1.656636,5.241062,0.316087846,31.60878463,11.86976
1159,C_27,Cameroon,Cacao,50,55,2.290232,5.241062,0.436978612,43.69786123,5.380113
934,C_2,Cameroon,Cacao,20,22,1.52315,2.047736,0.743821469,74.38214692,-13.89938
1357,C_49,Cameroon,Cacao,24,25,2.10192,3.309266,0.635161997,63.51619966,10.54618
1348,C_48,Cameroon,Cacao,24,25,2.071767,3.309266,0.626050308,62.60503084,6.935808
